page_id	n_clicks	n_from_art	n_act_links	n_from_proj	n_proj_act
4243287	467	50	2	50	2
4243343	1222	36	2	36	2
5659246	3884	254	8	44	2
994228	4588	869	24	0	0
9366	115271	27824	249	19266	114
1263405	6324	3248	47	1847	15
14815590	283	92	4	39	1
17238590	141662	24528	364	10685	128
1799539	3747	480	15	337	8
9384	3455	1474	15	739	6
3385749	5981	2185	40	1514	18
1781189	11064	2456	45	1455	14
99402	4961	1434	24	667	5
187749	209560	39113	596	20154	168
17448500	718	80	3	80	3
1041300	34820	2634	32	509	1
6572888	5764	1831	39	792	14
9686	17626	1202	27	784	13
9602302	24894	11372	139	3034	35
9405	6407	1058	20	506	7
229435	35799	13489	141	5454	29
23293357	1833	591	2	591	2
20910212	1330	228	3	228	3
97019	4127	1441	39	0	0
3963389	1160	28	1	0	0
46415102	54282	7759	97	0	0
1730727	6837	1760	31	827	11
2041178	10310	987	20	823	15
367043	5267	1542	18	882	5
45184563	51	0	0	0	0
2092372	3679	1889	12	1671	8
33843057	607	27	1	0	0
936945	3759	663	25	358	14
15341790	4648	481	9	436	6
17326167	152	0	0	0	0
21387	11266	856	19	376	5
20647727	6944	3119	47	1917	20
2054789	885	205	7	117	3
60703	45367	6430	43	577	6
39760328	23099	4071	67	1641	16
6619411	139	13	1	0	0
1273364	9931	4065	38	3401	25
291965	5260	2295	31	1697	12
1173504	5566	1701	28	963	12
1561462	10775	3673	41	1988	20
24240478	266	129	4	107	3
9795560	7812	1198	17	495	9
1628921	4109	1871	26	1166	15
459366	2769	371	9	266	4
165927	52177	1623	43	209	4
353792	0	0	0	0	0
555193	4542	1981	32	1226	16
30890924	156	54	2	0	0
28530530	432	117	2	105	1
3898843	776	103	3	103	3
67579	1373	371	2	353	1
710	838	189	1	189	1
3620	493	93	1	93	1
5337	725	49	1	49	1
9355	2639	198	3	198	3
9385	726	151	2	151	2
9406	2323	108	4	90	3
12076	1190	139	3	93	1
17790	305	93	2	93	2
19106	291	65	1	65	1
19136	489	66	1	66	1
19300	2071	262	5	251	4
19310	399	82	2	82	2
21382	438	70	1	70	1
21392	5106	230	4	198	2
308905	288	52	1	52	1
27376	2037	239	4	176	1
32225828	1325	246	3	246	3
27430	1309	139	2	139	2
27460	354	92	1	92	1
6007	274	65	2	65	2
25187472	1013	142	1	142	1
69858	2643	593	2	593	2
25503	420	43	1	43	1
5182995	1335	413	10	327	6
30147	291	65	1	65	1
9793716	4196	1239	26	280	6
1364993	2595	732	17	649	13
5918095	260	132	5	97	3
1099961	3839	197	9	157	6
322687	278	78	1	78	1
56661	16556	4308	71	3151	30
409757	5203	2392	33	1814	21
292341	18303	5535	85	2036	15
3650091	1128	289	6	278	5
2048999	2510	1243	19	397	8
333517	2997	1217	29	982	17
24395259	1143	179	5	143	3
16052851	1606	893	12	696	8
52893	5025	2219	42	1788	25
10727	3871	1105	13	652	7
28535450	3368	1468	31	553	14
537228	2236	939	17	728	10
290082	4181	1843	28	1495	16
538150	1274	574	8	523	6
2212327	1127	597	13	479	8
16044126	2332	1042	16	704	11
292705	9306	2195	61	1572	38
692334	5271	470	12	12	1
102383	31928	10746	117	8998	74
185219	17133	3765	32	1286	5
684799	1719	786	13	576	9
2534573	4034	817	19	345	8
12027	140970	32878	278	21036	115
56664	13491	4332	36	3789	15
37278	17255	3034	42	968	6
45080	99045	5740	105	1253	22
344463	10243	5016	29	4768	20
1140170	5288	1543	21	1440	17
11096600	52	0	0	0	0
309661	20826	8068	113	2373	13
5157596	1861	394	8	252	5
9619555	686	334	7	308	5
69495	0	0	0	0	0
3166389	11737	5037	48	2092	11
616517	8893	1517	37	193	6
13134	31327	2152	55	35	3
3409015	97	21	1	0	0
1854	10983	1004	13	567	5
40229	3053	714	5	668	2
18950616	2380	734	3	734	3
68972	923	118	3	107	2
3613	1043	221	1	221	1
3677	985	141	2	141	2
3695	590	91	1	91	1
5449	1693	156	2	145	1
5460	1326	246	1	246	1
5330	1450	171	1	171	1
8042	886	126	1	126	1
9348	9135	470	10	335	3
9368	647	155	1	155	1
9378	866	89	1	89	1
62143	4868	747	6	575	2
12029	1090	282	1	282	1
12069	5228	268	3	243	2
12178	848	116	3	98	2
12188	532	133	2	133	2
5565	1480	147	2	147	2
16654	5727	218	4	207	3
17783	1371	285	2	274	1
17793	1314	86	2	86	2
50874	6313	1729	7	1014	3
56707	1108	111	1	111	1
56703	1723	157	2	157	2
56698	816	171	2	171	2
56697	1473	214	2	195	1
56696	226	52	1	52	1
19293	2472	276	3	265	2
19303	1185	245	1	245	1
21294	1987	308	4	280	2
21375	1507	199	3	199	3
21385	15675	307	3	296	2
25628	207	33	1	0	0
27190	480	70	1	70	1
27260	266	0	0	0	0
27280	1711	292	2	292	2
57010	1664	172	2	161	1
27310	1201	87	2	87	2
65639	10051	369	6	259	1
32355491	1439	90	1	90	1
27423	3014	161	2	161	2
27453	696	108	1	108	1
30120	2639	310	4	284	2
5480	927	126	1	126	1
6001	443	88	2	65	1
8023	2435	202	3	191	2
69671	4854	1146	2	1146	2
25496	970	112	1	112	1
30140	672	147	3	136	2
25072414	390	153	3	100	1
50810	1821	198	2	198	2
56922	1581	154	1	154	1
33222	798	176	2	176	2
34430	1349	59	1	59	1
34401	2279	98	1	98	1
3263930	1505	454	8	24	1
