page_id	wikidata_id	num_inlinks	num_proj_inlinks	num_views
44402425	Q18619122	14	7	662
46255393	Q19693217	10	5	242
53691772		96	91	700
8780823	Q2878022	197	171	291
5996149	Q7612664	58	22	29273
16779899	Q4582917	121	108	471
1399377	Q718840	322	268	51607
9003743	Q6687911	335	167	864
18852257	Q7196935	5	1	224
29999882	Q5326031	5	2	81
29221476	Q7369405	22	14	420
8780723	Q2659015	198	174	399
5443720	Q7931435	10	6	481
10647639	Q4582428	183	168	1773
1660791	Q5999923	333	268	6767
51928696	Q27662763	82	65	667
28758068	Q4662283	165	111	9505
1632597	Q6166611	246	123	2305
44457759	Q18589130	3	1	115
47750648	Q21066691	17	15	193
5581521	Q4107568	34	0	142
2748561	Q5870060	118	106	1072
46892604	Q20711882	13	0	337
1781809	Q693828	646	629	1197
8798935	Q4580354	210	184	609
19091983	Q4583754	156	136	935
51504754	Q26837902	73	64	758
23902415	Q16015275	5	3	164
20041977	Q5481433	28	4	157
38380657	Q6163914	52	21	339
21972654	Q2904182	117	99	400
5727692	Q7308192	55	20	981
12062313	Q7344774	14	2	312
29872436	Q4560020	25	22	150
43756936	Q18001401	20	9	252
41333094	Q15632176	146	124	17043
44484507	Q19402667	200	180	3272
6090474	Q2364690	161	149	2341
9134518	Q339945	115	107	2400
22598180	Q14951063	2	0	156
618376	Q316187	1277	1033	68385
41378952	Q15846499	145	135	2095
12871003	Q4797886	23	14	1028
21625711	Q2197208	27	27	282
17386069	Q4578079	169	155	608
43640209	Q18157881	129	60	367
43753007	Q18001493	16	12	482
10360823	Q2905773	117	112	413
11309495	Q4582268	163	149	855
15626731	Q4611187	93	87	1062
42538027	Q16730351	7	4	155
17237827	Q5866342	101	93	335
18600857	Q2878813	131	123	235
31054937	Q5031374	135	122	1094
44440968	Q18763608	7	2	286
48309874	Q21176301	2	0	90
31756627	Q6775917	41	37	170
1502656	Q440636	507	99	9385
19417902	Q4570012	270	183	541
29064305	Q2830569	93	65	1045
46382527	Q20706897	9	8	100
50632016	Q24435854	79	63	820
21472646	Q2280035	20	18	188
50201786	Q23887790	9	7	179
21307256	Q2658506	150	137	429
23890652	Q6384823	17	11	614
39036798	Q14917947	103	90	1031
44249136	Q18377765	17	13	261
1459649	Q1697311	180	163	3658
17407008	Q3515342	133	127	780
43385857	Q17509248	95	90	163
13974015	Q4611967	192	178	1024
4275413	Q822757	58	16	480
33804807	Q4761381	6	4	336
1497619	Q205171	588	550	1490
15833627	Q2660556	184	155	409
46356205	Q19794121	6	5	118
21286883	Q2662925	157	138	314
8773591	Q2283431	181	160	262
24165724	Q3606968	72	49	1553
774364	Q505641	689	623	6888
1873992	Q1594708	1028	122	7053
8243840	Q4413067	235	140	2464
43757266	Q18159120	7	2	295
43329227	Q17507620	1	1	164
1880737	Q6410213	128	108	893
3735091	Q6175173	307	304	1077
44432824	Q18619056	46	23	356
29838168	Q4560597	27	25	147
4853175	Q5571590	91	91	361
1248033	Q3961036	349	316	3910
21640928	Q2195978	45	43	113
16712667	Q3514023	173	161	785
52478606	Q27959951	124	105	564
21456010	Q2281299	29	27	195
46478077	Q20711351	85	70	129
42272446	Q16234506	271	264	5261
21614578	Q2269012	47	45	284
9794706	Q5210465	151	128	562
44401484	Q19255692	155	143	3546
17957014	Q4592250	98	89	690
14981283	Q4908657	125	90	541
15765392	Q2658231	187	168	417
46415682	Q19878870	3	2	124
18842993	Q4584319	116	113	455
14490386	Q4603214	237	209	2678
50318863	Q24006414	10	8	103
44142219	Q18355486	11	0	146
20511029	Q4576059	161	149	747
26618748	Q3808423	296	264	14011
14020657	Q6387692	109	94	427
34258766	Q4625311	217	201	1931
13553078	Q4845753	62	59	730
15065495	Q6598175	261	240	1467
43472981	Q17486469	129	122	501
43629925	Q2662761	47	41	155
22634291	Q7614096	323	159	667
4166086	Q1258769	284	238	4283
41378872	Q16996882	194	185	2250
36627847	Q4730408	11	4	108
10646661	Q2908843	138	127	486
637188	Q2091437	279	208	3140
48316109	Q21176566	2	0	146
9404910	Q4600127	264	241	982
16982985	Q2909662	144	131	1180
44908829	Q19364589	5	2	193
43468021	Q17484444	78	73	226
17983822	Q4601493	108	102	724
25772551	Q3953621	176	160	3588
20877880	Q4614453	171	160	2077
43691534	Q18148208	137	0	837
20898602	Q4614607	234	207	1940
43496755	Q17513245	103	88	254
49485593	Q23017201	1	0	184
44430360	Q18637784	3	0	156
30068668	Q16971484	116	109	274
50218438	Q23887938	67	67	288
43455972	Q17489530	116	102	363
10648964	Q4566232	165	153	653
1467618	Q472434	769	712	2435
28703333	Q5237960	102	74	1635
12828987	Q2910636	142	122	554
1438065	Q709348	297	275	4122
23871182	Q7816139	25	11	274
43580515	Q17523826	14	5	277
43832180	Q18158010	165	156	776
5312792	Q7356348	113	93	497
20950252	Q3248796	255	224	9796
46431186	Q20711464	10	8	121
8272726	Q8043194	36	18	774
16642588	Q5262956	61	54	292
14650669	Q3515497	229	202	717
44914836	Q19870887	1332	572	220318
16727837	Q4583650	163	149	933
51445582	Q26837686	81	66	1165
50892275	Q24810033	63	63	122
19600702	Q4572748	209	76	537
48398752	Q22096762	8	7	106
3567064	Q7565189	135	127	1465
43455488	Q18159093	72	66	388
3260069	Q7822088	57	48	570
18389149	Q4909811	61	42	407
16727827	Q4577629	162	152	1222
28816578	Q3183281	27	16	607
30760483	Q5258428	10	2	904
4843311	Q14950063	25	18	639
21618799	Q2197024	23	23	345
43758250	Q18001005	9	4	229
10652161	Q3515816	148	136	567
9076293	Q2879244	158	144	629
9195593	Q5140461	22	19	356
918363	Q379491	1204	1023	26295
3513266	Q14951464	133	125	739
21244679	Q2788045	154	135	300
52343303	Q27909431	87	66	941
12923941	Q14950353	25	16	619
14237324	Q6568898	152	144	1060
37002259	Q716875	574	394	71487
165323	Q2281626	786	559	2426
11059668	Q4588618	176	159	505
1402270	Q835765	88	58	1864
1263005	Q853768	821	537	24377
4371906	Q7803223	131	49	2266
15466500	Q4603938	161	155	757
14900014	Q4592512	155	145	665
